列表_车名,列表_价格(万),列表_里程(万公里),列表_上牌时间,车辆ID,经销商ID,城市,页码,详情URL,车辆名称,价格(万),表显里程,上牌时间,挡位排量,车辆所在地,档案_上牌时间,档案_表显里程,变速箱,排放标准,排量,发布时间,年检到期,保险到期,质保到期,过户次数,档案_所在地,发动机,车辆级别,车身颜色,燃油标号,驱动方式,留言信息,留言_车辆名称,留言_驱动方式,留言_颜色,留言_出厂时间,留言_交强日期,留言_行驶里程,留言_车辆排量,留言_车辆状态,留言_钥匙,留言_车况,留言_车辆配置
昂科威S 2023款 昂科威S 552T 两驱豪华型,11.3,3.8,2023/05,55049973,330959,郑州,1,https://www.che168.com/dealer/330959/55049973.html,,万,3.8万公里,2023年05月,自动 / 1.5L,郑州,2023年05月,3.8万公里,,国VI,,2025-06-11,2027-05,2026-05,-,0次（以车辆登记证为准）,,,中型SUV,黑色,92号,前置前驱,您找咱们买车时，我们提供以下保障1．透明车况，提供每台车的保险记录，保养记录，读表记录和第三方检测报告；2．透明价格，拒绝套路，支持全网比价；3．精选优质车源，展厅精选5年8万公里以内的车况良好，整备完善的精选车源4．售后保障，可以提供一年三万公里的质保，事故水泡火烧终身回购；5．按揭无套路，不收手续费，抵押费，主做银行低息产品。首付1成起，可做5年期；您找我们卖车时，我们提供以下服务1．免费评估，发送基本车源信息，可以提供免费的线上报价，车况无出入，无套路不砍价收购2．高价收车，没有平台中间商赚差价，直接卖给终端零售车商，欢迎对比以后再来找我们评估3．极速打款，车况确认签订协议之后，10分钟直接可以收到车款。,,,,,,,,,,,
宝马X3 2021款 xDrive28i M运动套装,16.98,7,2021/08,54686045,641149,郑州,1,https://www.che168.com/dealer/641149/54686045.html,宝马X3 2021款 xDrive28i M运动套装,万,7万公里,2021年08月,自动 / 2L,郑州,2021年08月,7万公里,,国VI,,2025-05-09,2025-08,2025-08,-,0次（以车辆登记证为准）,,,中型SUV,白色,95号,前置四驱,这辆宝马X3 2021款 xDrive28i M运动套装，首次上牌时间是2021年8月，目前表显里程为7万公里。车子外观漆面完美，看起来非常新。配置方面，它配备了主动刹车、ISOFIX儿童座椅接口、自动驻车、自动泊车入位等，还有电动后备厢、无钥匙启动系统和全液晶仪表盘等高科技配置。感兴趣的话，欢迎到店看车！,,,,,,,,,,,
迈腾 2021款 330TSI DSG 30周年纪念版,13.28,2.2,2022/03,55051355,330959,郑州,1,https://www.che168.com/dealer/330959/55051355.html,,万,2.2万公里,2022年03月,自动 / 2L,郑州,2022年03月,2.2万公里,,国VI,,2025-06-11,2026-03,2026-03,-,0次（以车辆登记证为准）,,,中型车,黑色,95号,前置前驱,您找咱们买车时，我们提供以下保障1．透明车况，提供每台车的保险记录，保养记录，读表记录和第三方检测报告；2．透明价格，拒绝套路，支持全网比价；3．精选优质车源，展厅精选5年8万公里以内的车况良好，整备完善的精选车源4．售后保障，可以提供一年三万公里的质保，事故水泡火烧终身回购；5．按揭无套路，不收手续费，抵押费，主做银行低息产品。首付1成起，可做5年期；您找我们卖车时，我们提供以下服务1．免费评估，发送基本车源信息，可以提供免费的线上报价，车况无出入，无套路不砍价收购2．高价收车，没有平台中间商赚差价，直接卖给终端零售车商，欢迎对比以后再来找我们评估3．极速打款，车况确认签订协议之后，10分钟直接可以收到车款。,,,,,,,,,,,
途观L 2022款 330TSI 自动两驱R-Line越享版,14.39,3,2021/09,54710195,409507,郑州,1,https://www.che168.com/dealer/409507/54710195.html,途观L 2022款 330TSI 自动两驱R-Line越享版,¥14.39,3万公里,2021年09月,自动 / 2L,郑州,2021年09月,3万公里,,国VI,,2025-05-11,2025-09,2025-09,-,0次（以车辆登记证为准）,,,中型SUV,白色,95号,前置前驱,这辆途观L 2022款 330TSI 自动两驱R-Line越享版，首次上牌时间是2021年9月，目前表显里程为3万公里。外观保持原版原漆，内饰座椅柔软舒适。亮点配置包括主动刹车、ISOFIX儿童座椅接口、自动驻车、自动泊车入位等。欢迎到店看车，亲自体验一下吧！,,,,,,,,,,,
奔驰GLC 2023款 GLC 260 L 4MATIC 动感型 7座,30.98,2.61,2023/04,55073210,624896,郑州,1,https://www.che168.com/dealer/624896/55073210.html,奔驰GLC 2023款 GLC 260 L 4MATIC 动感型 7座,¥30.98,2.61万公里,2023年04月,自动 / 2L,郑州,2023年04月,2.61万公里,,国VI,,2025-06-12,2027-04,2026-04,-,0次（以车辆登记证为准）,,,中型SUV,绿色,95号,前置四驱,全车原版原漆一手车0过户，内外透新，（优点：选装稀有松石绿外观车漆、选装7座）。,,,,,,,,,,,
途观L 2023款 改款 330TSI 自动两驱R-Line越享版,14.98,2.98,2023/05,55066707,641521,郑州,1,https://www.che168.com/dealer/641521/55066707.html,途观L 2023款 改款 330TSI 自动两驱R-Line越享版,万,2.98万公里,2023年05月,自动 / 2L,郑州,2023年05月,2.98万公里,,国VI,,2025-06-12,2027-05,2026-05,-,1次（以车辆登记证为准）,,,中型SUV,白色,95号,前置前驱,很高兴您能看到优驰车源，给您带来简单快捷的购车保障：,,,,,,,,,,,
揽胜极光 2020款 249PS R-DYNAMIC S 曜黑运动版,14.58,3.43,2019/11,54980033,415623,郑州,1,https://www.che168.com/dealer/415623/54980033.html,揽胜极光 2020款 249PS R-DYNAMIC S 曜黑运动版,万,3.43万公里,2019年11月,自动 / 2L,郑州,2019年11月,3.43万公里,,国VI,,2025-06-05,2025-11,2025-11,-,0次（以车辆登记证为准）,,,中型SUV,银/灰色,95号,前置四驱,"原版原漆漆面保养良好，车身结构无修复，无重大事故。 内饰：干净整洁。安全指示灯正常，气囊等被动安全项正常，车辆内电子器件使用良好， 车内静态动态设备完善。 驾驶：车辆点火、起步、提速、过弯、减速、制动均无问题，加速迅猛，动力输出平稳舒 适,无怠速抖动。",,,,,,,,,,,
探岳 2023款 280TSI 两驱豪华Plus进阶版,11.39,3.65,2023/04,54624721,118132,郑州,1,https://www.che168.com/dealer/118132/54624721.html,探岳 2023款 280TSI 两驱豪华Plus进阶版,万,3.65万公里,2023年04月,自动 / 1.4L,郑州,2023年04月,3.65万公里,,国VI,,2025-05-26,2027-04,2026-04,-,1次（以车辆登记证为准）,,,中型SUV,白色,95号,前置前驱,客服人员24小时在线，可随时咨询或电话沟通。【库存表】平台未展示全部车源，店内常态库存2000多台。【低端车型】大量增加0-10万低端精品车销售收购业务。【分期购车】支持0首付、贷款可分期5年、手续简单、无套路 。【全国高价收购二手油车、新能源二手车】支持置换。【支持全国定向找车】同样享受腾发低利息、质保等服务。【支持全网比价】如您发现我们的价格高，请联系我们核实调整。,,,,,,,,,,,
途观X 2021款 380TSI 四驱尊崇旗舰版,14.99,3.5,2020/11,55076462,409507,郑州,1,https://www.che168.com/dealer/409507/55076462.html,途观X 2021款 380TSI 四驱尊崇旗舰版,¥14.99,3.5万公里,2020年11月,自动 / 2L,郑州,2020年11月,3.5万公里,,国VI,,2025-06-13,2026-11,2025-11,-,2次（以车辆登记证为准）,,,中型SUV,红/紫色,95号,前置四驱,这辆途观X 2021款 380TSI 四驱尊崇旗舰版，首次上牌时间是2020年11月，目前表显里程为3.5万公里。车子外观保持得非常好，原版原漆，看起来跟新车一样。配置方面，这车非常丰富，有胎压监测、并线辅助、车道保持、主动刹车等安全配置，还有方向盘加热、全液晶仪表盘、蓝牙电话、车联网等舒适配置。感兴趣的话，欢迎到店看车！,,,,,,,,,,,
途观L 2024款 出众款 330TSI 自动两驱R-Line龙耀版,15.48,1.99,2024/06,54866225,242122,郑州,1,https://www.che168.com/dealer/242122/54866225.html,,¥15.48,1.99万公里,2024年06月,自动 / 2L,郑州,2024年06月,1.99万公里,,国VI,,2025-05-26,2026-06,2025-06,-,0次（以车辆登记证为准）,,,中型SUV,黑色,95号,前置前驱,店内常态库存 1000  。【分期购车】支持0首付、贷款可分期5年、手续简单、无套路。【全国高价收购新能源二手车】支持置换。【本公司不经营套现车】【支持全国定向找车】同样享受低利息、等服务。,,,,,,,,,,,
发现运动版新能源 2022款 P300e 性能科技版,15.88,4.51,2023/03,54973681,415623,郑州,1,https://www.che168.com/dealer/415623/54973681.html,发现运动版新能源 2022款 P300e 性能科技版,万,4.51万公里,2023年03月,自动 / 1.5L,郑州,2023年03月,4.51万公里,,,,2025-06-04,2027-03,2026-03,-,1次（以车辆登记证为准）,,,中型SUV,白色,,前置四驱,车况精品，无重大事故，无火烧泡水，无加装改装配置。让您买的放心，省心，开心。底盘结构：无明显磨损发动机舱：运转良好外观：车身无结构性损伤内饰：干净整洁漆面：保养良好,,,,,,,,,,,
奔驰GLC 2022款 改款 GLC 260 L 4MATIC 豪华型,26.58,1.98,2022/10,55093267,428218,郑州,1,https://www.che168.com/dealer/428218/55093267.html,奔驰GLC 2022款 改款 GLC 260 L 4MATIC 豪华型,¥26.58,1.98万公里,2022年10月,自动 / 2L,郑州,2022年10月,1.98万公里,,国VI,,2025-06-14,2026-10,2025-10,-,0次（以车辆登记证为准）,,,中型SUV,黑色,95号,前置四驱,郑州启源名车，本店以信誉求发展，只做精品，所有出售车辆，都附有第三方检测报告，全车经过一百多项全面检测，支持90天回购保障，所有车源，车况百分百属实，支持分期，一成首付、底利息、60期等金融服务，旧车置换等，我们做到透明买透明卖，看上哪款车欢迎致电，温馨提示：展厅客流量大，车辆可能随时售出，到店看车前，务必提前联系我们。,,,,,,,,,,,
一汽-大众CC 2020款 330TSI 魅颜版 国VI,11.2,4.7,2020/08,54850148,645762,郑州,1,https://www.che168.com/dealer/645762/54850148.html,一汽-大众CC 2020款 330TSI 魅颜版 国VI,￥11.20,4.7万公里,2020年08月,自动 / 2L,郑州,2020年08月,4.7万公里,,国VI,,2025-05-23,2026-08,2025-08,-,0次（以车辆登记证为准）,,,中型车,白色,95号,前置前驱,"外观：漆面保养良好，车身结构无修复，无重大事故。 内饰：干净整洁。安全指示灯正常，气囊等被动安全项正常，车辆内电子器件使用良好， 车内静态动态设备完善。 驾驶：车辆点火、起步、提速、过弯、减速、制动均无问题，加速迅猛，动力输出平稳舒 适,无怠速抖动。 整体：整体车况一般。车体骨架结构无变形扭曲、无火烧泡水痕迹。车身有喷漆痕迹，整体漆面良好，排除大事故车辆。视野宽阔，练手选择，空间宽敞明亮通风性好，适合家庭代步车。",,,,,,,,,,,
途观L 2022款 330TSI 自动两驱R-Line旗舰版,13.58,7.6,2022/01,54960724,410617,郑州,1,https://www.che168.com/dealer/410617/54960724.html,途观L 2022款 330TSI 自动两驱R-Line旗舰版,¥13.58,7.6万公里,2022年01月,自动 / 2L,郑州,2022年01月,7.6万公里,,国VI,,2025-06-03,2026-01,2026-01,-,1次（以车辆登记证为准）,,,中型SUV,白色,95号,前置前驱,新到22年途观L330Ｒ旗舰版，行驶7万多公里，全车原漆，全景天窗，倒车影像，车道保持，并线辅助，30色氛围灯，中控大屏，无钥匙进入启动，配置丰富，喜欢抓紧[勾引][勾引][勾引],,,,,,,,,,,
途观L 2022款 330TSI 自动两驱舒享版,10.68,6.9,2022/07,54871039,584108,郑州,1,https://www.che168.com/dealer/584108/54871039.html,途观L 2022款 330TSI 自动两驱舒享版,¥10.68,6.9万公里,2022年07月,自动 / 2L,郑州,2022年07月,6.9万公里,,国VI,,2025-05-25,2026-07,2025-07,-,1次（以车辆登记证为准）,,,中型SUV,白色,95号,前置前驱,有喷漆，无事故,,,,,,,,,,,
一汽-大众CC 2023款 380TSI 夺目版,15.58,3.7,2023/02,54844862,540138,郑州,1,https://www.che168.com/dealer/540138/54844862.html,一汽-大众CC 2023款 380TSI 夺目版,万,3.7万公里,2023年02月,自动 / 2L,郑州,2023年02月,3.7万公里,,国VI,,2025-05-23,2027-02,2026-02,-,0次（以车辆登记证为准）,,,中型车,白色,95号,前置前驱,这辆一汽-大众CC 2023款 380TSI 夺目版，首次上牌时间是2023年2月，目前表显里程为3.7万公里。外观漆面完美，崭新如初；内饰整洁，豪华真皮座椅柔软舒适，空调效果也很给力。车况极佳，性价比高，还支持第三方检测。亮点配置包括胎压监测、车道保持、主动刹车、自动泊车等，功能非常齐全。欢迎到店看车，亲自体验一下吧！,,,,,,,,,,,
奔驰GLC 2020款 改款 GLC 300 L 4MATIC 动感型,25.38,3.2,2020/09,54244721,242122,郑州,1,https://www.che168.com/dealer/242122/54244721.html,,万,3.2万公里,2020年09月,自动 / 2L,郑州,2020年09月,3.2万公里,,国VI,,2025-04-06,2026-09,2025-09,-,0次（以车辆登记证为准）,,,中型SUV,黑色,95号,前置四驱,店内常态库存 700  。【分期购车】支持0首付、贷款可分期5年、手续简单、无套路。【全国高价收购新能源二手车】支持置换。【本公司不经营套现车】【支持全国定向找车】同样享受低利息、等服务。,,,,,,,,,,,
坦克300 2024款 2.0T 征服者,18.7,2.6,2024/06,55077074,330959,郑州,1,https://www.che168.com/dealer/330959/55077074.html,坦克300 2024款 2.0T 征服者,¥18.70,2.6万公里,2024年06月,自动 / 2L,郑州,2024年06月,2.6万公里,,国VI,,2025-06-13,2026-06,2025-06,-,0次（以车辆登记证为准）,,,紧凑型SUV,黑色,92号,前置四驱,您找咱们买车时，我们提供以下保障1．透明车况，提供每台车的保险记录，保养记录，读表记录和第三方检测报告；2．透明价格，拒绝套路，支持全网比价；3．精选优质车源，展厅精选5年8万公里以内的车况良好，整备完善的精选车源4．售后保障，可以提供一年三万公里的质保，事故水泡火烧终身回购；5．按揭无套路，不收手续费，抵押费，主做银行低息产品。首付1成起，可做5年期；您找我们卖车时，我们提供以下服务1．免费评估，发送基本车源信息，可以提供免费的线上报价，车况无出入，无套路不砍价收购2．高价收车，没有平台中间商赚差价，直接卖给终端零售车商，欢迎对比以后再来找我们评估3．极速打款，车况确认签订协议之后，10分钟直接可以收到车款。,,,,,,,,,,,
宝马X3 2021款 改款 xDrive28i 豪华套装,19.78,4,2021/03,55026629,415623,郑州,1,https://www.che168.com/dealer/415623/55026629.html,宝马X3 2021款 改款 xDrive28i 豪华套装,￥19.78,4万公里,2021年03月,自动 / 2L,郑州,2021年03月,4万公里,,国VI,,2025-06-09,2027-03,2026-03,-,0次（以车辆登记证为准）,,,中型SUV,黑色,95号,前置四驱,"外观：漆面保养良好，车身结构无修复，无重大事故。 内饰：干净整洁。安全指示灯正常，气囊等被动安全项正常，车辆内电子器件使用良好， 车内静态动态设备完善。 驾驶：车辆点火、起步、提速、过弯、减速、制动均无问题，加速迅猛，动力输出平稳舒 适,无怠速抖动。 整体：整体车况一般。车体骨架结构无变形扭曲、无火烧泡水痕迹。车身有喷漆痕迹，整体漆面良好，排除大事故车辆。视野宽阔，练手选择，空间宽敞明亮通风性好，适合家庭代步车。",,,,,,,,,,,
途观L 2022款 330TSI 自动两驱R-Line越享版,13.99,2,2022/11,55058377,601876,郑州,1,https://www.che168.com/dealer/601876/55058377.html,途观L 2022款 330TSI 自动两驱R-Line越享版,¥13.99,2万公里,2022年11月,自动 / 2L,郑州,2022年11月,2万公里,,国VI,,2025-06-11,2026-11,2025-11,-,0次（以车辆登记证为准）,,,中型SUV,黑色,95号,前置前驱,原版原漆,,,,,,,,,,,
捷达VS7 2020款 1.4T 自动荣耀型,5.6,3.12,2021/06,55005360,646484,郑州,1,https://www.che168.com/dealer/646484/55005360.html,捷达VS7 2020款 1.4T 自动荣耀型,万,3.12万公里,2021年06月,自动 / 1.4L,郑州,2021年06月,3.12万公里,,国VI,,2025-06-07,2025-06,2025-06,-,1次（以车辆登记证为准）,,,中型SUV,白色,95号,前置前驱,车况精品，无重大事故，无火烧泡水，无加装改装配置。让您买的放心，省心，开心。底盘结构：无明显磨损发动机舱：运转良好外观：车身无结构性损伤内饰：干净整洁漆面：保养良好,,,,,,,,,,,
